x,y,score,color
7936,23296,0.8764202625336576,#940c01
7936,23808,0.8778854316548199,#840701
7936,24320,0.8717464593592326,#be2102
7936,24832,0.8719939645514013,#bb1f01
8448,15104,0.8684723031538255,#d43205
8448,15616,0.8552029501118357,#fe9b2d
8448,16128,0.8677092556703143,#d93806
8448,16640,0.8493003546640314,#f4c43a
8448,17152,0.8252708012835761,#4df97c
8448,17664,0.8284045323666689,#69fd65
8448,18176,0.822995994320881,#3bf48d
8448,18688,0.8230214610365266,#3bf48d
8448,19200,0.8398309906835095,#c3f133
8448,19712,0.855098841573894,#fe9b2d
8448,20224,0.8790144104657442,#7a0402
8448,20736,0.8777582758180317,#870801
8448,21248,0.8801517866941582,#7a0402
8448,21760,0.8807887991775882,#7a0402
8448,22272,0.8789621176901109,#7a0402
8448,22784,0.8779595419161667,#840701
8448,23296,0.8779323646643664,#840701
8448,23808,0.8754175131656664,#9d1001
8960,15104,0.818112941191687,#1ee8af
8960,15616,0.8724225542301789,#b91e01
8960,16128,0.8595709966846757,#f8741c
8960,16640,0.8557120693095623,#fe982c
8960,17152,0.8352676478361534,#a4fc3b
8960,17664,0.8165761992509194,#1ae4b6
8960,18176,0.8739881403362944,#ac1601
8960,18688,0.8616154922938803,#f36315
8960,19200,0.8627357664508742,#ef5a11
8960,19712,0.8553730114382271,#fe9b2d
8960,20224,0.8794081606408315,#7a0402
8960,20736,0.8775399312027229,#870801
8960,21248,0.8780862628310406,#810602
8960,21760,0.879717471185505,#7a0402
8960,22272,0.8673706012702749,#db3a07
8960,22784,0.8798862573483374,#7a0402
8960,23296,0.8684300730227723,#d43205
8960,23808,0.7863533431737846,#4668e0
9472,14592,0.6291432396674008,#30123b
9472,15104,0.8380826711496949,#b6f735
9472,15616,0.8603980361986556,#f76e1a
9472,16128,0.8782166195975513,#810602
9472,16640,0.8786565432198232,#7d0502
9472,17152,0.8665832278500858,#de3e08
9472,17664,0.8399968514251897,#c3f133
9472,18176,0.8397796828195686,#c3f133
9472,18688,0.863147435519597,#ee5810
9472,19200,0.8559536563758979,#fd952b
9472,19712,0.8677643968456384,#d73606
9472,20224,0.8781100767019469,#810602
9472,20736,0.8703382521678702,#c72803
9472,21248,0.8772614032741429,#8b0901
9472,21760,0.8764218285094258,#940c01
9472,22272,0.8743578140174704,#a91501
9472,22784,0.8720255973743332,#bb1f01
9984,14592,0.8030072026034294,#33acf6
9984,15104,0.8666716483216523,#de3e08
9984,15616,0.8774609610948199,#870801
9984,16128,0.8778793421922833,#840701
9984,16640,0.839952264282198,#c3f133
9984,17152,0.8299701520034393,#78fe59
9984,17664,0.8542514632864167,#fda330
9984,18176,0.8576002481858591,#fc8624
9984,18688,0.8295425532095991,#74fe5c
9984,19200,0.7792928229682171,#434eba
9984,19712,0.8173492453074143,#1be5b4
9984,20224,0.8159553367505574,#18e1ba
9984,20736,0.8537085267617379,#fda631
9984,21248,0.8575700966207065,#fc8624
9984,21760,0.8697900710159461,#cb2b03
10496,14080,0.6965089828846535,#30123b
